ssn,cc_num,first,last,gender,street,city,state,zip,latitude,longitude,city_pop,job,dob,acct_num,profile,age,setting,age_group
687-14-2635,377468071545168,Sean,Bryan,M,876 Jacob Lake,Raleigh,NC,27609,35.848,-78.6317,489514,Writer,1984-12-03,548709745211,adults_2550_male_urban.json,37,urban,36-45
453-98-0846,4824771093241,Krista,Tran,F,17127 Hicks Groves,Cedar Grove,WI,53013,43.5751,-87.8401,3308,Pathologist,1964-04-12,531866089440,adults_50up_female_urban.json,58,urban,Over 55
250-59-9032,4398214658404495,Lauren,Keller,F,8755 Gibson Islands,Washington,DC,20001,38.9122,-77.0177,601723,Energy engineer,1952-01-25,768716573635,adults_50up_female_urban.json,70,urban,Over 55
586-50-3827,6011576627028957,Sergio,Sawyer,M,87026 Charles Tunnel Suite 596,Jackson,MI,49201,42.2545,-84.3875,104131,Catering manager,1969-02-15,364435556959,adults_50up_male_urban.json,53,urban,46-55
390-41-7995,213191343161170,Carol,Evans,F,50455 Thomas Pines,Bartlesville,OK,74003,36.744,-95.9921,39999,Paramedic,1949-02-26,749754952027,adults_50up_female_urban.json,73,urban,Over 55
175-23-1294,3593792374740743,Megan,Moore,F,9464 Bruce Flat Suite 713,Ontario,CA,91761,34.0316,-117.6187,166856,Museum/gallery curator,1946-02-15,393298413208,adults_50up_female_urban.json,76,urban,Over 55
303-90-4838,676364090974,Sandra,Leach,F,533 Byrd Stravenue,Knoxville,TN,37922,35.858,-84.1194,391389,"Copywriter, advertising",1956-07-23,105777520189,adults_50up_female_urban.json,66,urban,Over 55
662-06-5062,30095214562328,Rachel,Walter,F,842 Sloan Orchard Suite 517,Potsdam,NY,13676,44.6592,-74.9681,16646,Call centre manager,1990-05-07,829533234908,adults_2550_female_urban.json,32,urban,26-35
881-87-6512,180016048175499,James,Little,M,37098 Herman Forges Apt. 746,Big Prairie,OH,44611,40.6188,-82.072,2025,Commercial horticulturist,1974-09-04,47844977968,adults_2550_male_rural.json,48,rural,46-55
312-64-1903,2248267586926175,Lisa,Crosby,F,53773 Garcia Spur Suite 850,Brentwood,CA,94513,37.9324,-121.6894,54605,Occupational therapist,1984-04-07,207343331995,adults_2550_female_urban.json,38,urban,36-45
869-59-1502,4900532931839331,Erin,Hernandez,F,2284 Daniel Way,New London,OH,44851,41.0906,-82.3966,5308,Agricultural engineer,2001-02-27,13450992449,young_adults_female_urban.json,21,urban,Under 25
809-31-9648,342402681177585,Linda,Hayes,F,084 Schneider Burgs,Kemp,TX,75143,32.2486,-96.2161,14619,"Biochemist, clinical",1934-03-10,528274907582,adults_50up_female_urban.json,88,urban,Over 55
437-88-1769,38115921249985,Michelle,James,F,8961 Melissa Run Apt. 673,Columbus,OH,43223,39.9388,-83.0463,783285,Patent attorney,1972-08-31,907693799652,adults_50up_female_urban.json,50,urban,46-55
409-54-1558,375452711116152,Robin,Hawkins,F,165 Parrish Stravenue Apt. 494,Shannon,MS,38868,34.121,-88.7342,5481,Management consultant,1975-06-06,631805153549,adults_2550_female_urban.json,47,urban,46-55
218-20-7901,4585149368991,Megan,Hawkins,F,24455 Howard Divide Suite 120,Walla Walla,WA,99362,46.0614,-118.3315,41056,"Chemist, analytical",1993-04-06,583025110578,adults_2550_female_urban.json,29,urban,26-35
386-54-7433,345459910229014,Dillon,Stanley,M,764 Kari Crescent Suite 614,Yonkers,NY,10704,40.9176,-73.8593,177756,"Therapist, horticultural",2001-04-27,577615689420,young_adults_male_urban.json,21,urban,Under 25
316-06-3613,6011034324451072,Nicole,Thompson,F,388 Jones Wall Apt. 607,Beaumont,TX,77705,30.0211,-94.1157,142692,Careers adviser,1959-09-12,347300118003,adults_50up_female_urban.json,63,urban,Over 55
440-74-6627,3541605297516136,Jessica,Morales,F,4535 Charles Roads,Climax,MI,49034,42.234,-85.3238,2389,Clothing/textile technologist,2005-08-04,560624678846,young_adults_female_rural.json,17,rural,Under 25
795-45-5753,3531243292127790,Peter,Cole,M,527 Taylor Roads Suite 490,Los Angeles,CA,90044,33.9551,-118.2901,2383912,Management consultant,1987-08-06,79488406665,adults_2550_male_urban.json,35,urban,26-35
473-58-0617,584119986795,Kristen,Conner,F,9359 Mason Circle,Denver,CO,80229,39.8671,-104.9227,990452,"Production designer, theatre/television/film",1937-07-24,889502767451,adults_50up_female_urban.json,85,urban,Over 55
732-11-8267,4037788925546656,Meghan,Williams,F,51864 Cummings Shoals Apt. 519,Collbran,CO,81624,39.2453,-107.9249,1537,Counsellor,1963-09-08,386189485379,adults_50up_female_rural.json,59,rural,Over 55
672-90-6422,4486528168505423,Trevor,Peterson,M,32214 William Plains Apt. 592,Hempstead,NY,11550,40.7049,-73.6176,59357,"Therapist, speech and language",1978-07-22,169121724065,adults_2550_male_urban.json,44,urban,36-45
186-89-2713,3506537947383471,Stephanie,Lee,F,4688 Burch Viaduct Apt. 924,Nanuet,NY,10954,41.0977,-74.0109,23045,Associate Professor,1992-07-09,531034820387,adults_2550_female_urban.json,30,urban,26-35
568-14-8453,2261247826137504,Jennifer,Sanders,F,61530 Galvan Villages Suite 220,Alameda,CA,94501,37.7706,-122.2648,73812,Historic buildings inspector/conservation officer,1984-08-18,914473253283,adults_2550_female_urban.json,38,urban,36-45
713-18-7686,30010432898610,Ricardo,Young,M,36971 Mary Parks,Carteret,NJ,7008,40.5823,-74.2313,22844,"Therapist, speech and language",1998-01-28,19482202674,young_adults_male_urban.json,24,urban,Under 25
528-74-3964,3546095396218518,Tiffany,Stephens,F,7065 Burgess Knolls,Fairfax,VA,22033,38.8776,-77.3885,151929,Broadcast journalist,1996-07-02,263473920508,adults_2550_female_urban.json,26,urban,26-35
644-14-9534,3520585277221706,Edward,Williams,M,54868 King Terrace,Palmdale,CA,93552,34.5715,-118.0231,171170,"Engineer, aeronautical",1965-05-11,392070860877,adults_50up_male_urban.json,57,urban,Over 55
887-84-5439,4566765277584161694,Zachary,White,M,1154 Griffin Stravenue Suite 275,Vista,CA,92084,33.2131,-117.2243,112033,Product manager,1954-08-17,799045831074,adults_50up_male_urban.json,68,urban,Over 55
630-56-4499,4165820297021358,Jack,Herring,M,275 Wallace Club,Daphne,AL,36526,30.6197,-87.8895,27890,"Teacher, secondary school",1992-12-30,580411980930,adults_2550_male_urban.json,29,urban,26-35
408-41-4567,4027868144733,Zachary,Mitchell,M,12172 Osborn Valleys Suite 518,Dekalb,IL,60115,41.9008,-88.7548,46272,Special effects artist,1956-06-26,980499639968,adults_50up_male_urban.json,66,urban,Over 55
872-21-2853,341323705895781,Carlos,Henson,M,6786 Morrow Cliffs,Prescott Valley,AZ,86315,34.7055,-112.2639,41635,Comptroller,1937-03-16,352068690122,adults_50up_male_urban.json,85,urban,Over 55
076-58-7633,4289226801824223,Erica,Fletcher,F,414 Cynthia Plaza Suite 249,Tampa,FL,33618,28.0763,-82.4852,717255,"Social research officer, government",1959-11-08,550157085827,adults_50up_female_urban.json,63,urban,Over 55
173-76-9514,4995900109439695,Margaret,Jimenez,F,473 Evans Cliffs Apt. 276,Laguna Beach,CA,92651,33.5429,-117.7813,23881,Radio broadcast assistant,2003-10-22,225333063288,young_adults_female_urban.json,19,urban,Under 25
622-19-5122,3556258815371477,David,Davis,M,9632 Peck Stravenue Suite 327,Taylors,SC,29687,34.9245,-82.3197,39561,"Scientist, biomedical",1996-07-29,547465802270,adults_2550_male_urban.json,26,urban,26-35
510-03-1476,6533950047974802,Ryan,Jordan,M,565 Richard Port Apt. 584,Easton,PA,18045,40.6957,-75.2865,83703,"Buyer, retail",1990-07-01,555710136742,adults_2550_male_urban.json,32,urban,26-35
783-71-4583,3521655852398689,Amanda,Williams,F,8729 Mark Ridge Suite 269,Columbus,NE,68601,41.543,-97.3763,28185,Hydrographic surveyor,1930-04-28,371917215429,adults_50up_female_urban.json,92,urban,Over 55
849-66-8722,30470551694093,Karen,Coffey,F,097 Alexandria Stravenue,Nanuet,NY,10954,41.0977,-74.0109,23045,Water quality scientist,1969-04-05,926744876615,adults_50up_female_urban.json,53,urban,46-55
152-88-3969,676213075622,Jason,Harris,M,028 Ann Shore Suite 865,Fairbanks,AK,99709,64.8544,-147.8469,63999,Early years teacher,1966-12-07,375951918053,adults_50up_male_urban.json,55,urban,46-55
363-87-4332,3533484344375759,Justin,Michael,M,1986 Cardenas Trail Apt. 404,Billings,MT,59102,45.7813,-108.5727,128125,Careers information officer,1942-08-02,719159529356,adults_50up_male_urban.json,80,urban,Over 55
766-62-3506,4842199330839,Mark,Williams,M,7120 Richard Wells Suite 734,Huntington Beach,CA,92646,33.6654,-117.9686,190249,IT sales professional,1966-09-21,709895453406,adults_50up_male_urban.json,56,urban,Over 55
788-12-9407,4262067240046,Laura,Rodriguez,F,7887 Melissa Mountain Suite 315,Albany,NY,12209,42.6417,-73.7854,151022,"Designer, textile",1929-01-05,505651306822,adults_50up_female_urban.json,93,urban,Over 55
264-92-3051,60454932967,Samantha,Robertson,F,1227 Boyle Avenue,Wadley,GA,30477,32.8747,-82.4025,3070,Games developer,1985-01-21,259345477235,adults_2550_female_urban.json,37,urban,36-45
772-35-5401,4453017426841459337,Tina,Mendoza,F,956 Todd Unions Apt. 391,Menomonee Falls,WI,53051,43.1602,-88.1128,35651,Secondary school teacher,1982-03-14,581739352909,adults_2550_female_urban.json,40,urban,36-45
080-73-1839,676183982252,Sarah,Ramos,F,971 Stokes Motorway,Riverdale,GA,30274,33.5531,-84.4003,57733,Consulting civil engineer,1980-04-23,457470916067,adults_2550_female_urban.json,42,urban,36-45
578-08-9156,30406403910659,Melody,Weaver,F,70462 Katie Stream,Fort Madison,IA,52627,40.633,-91.3398,13105,Petroleum engineer,1977-07-17,420440076410,adults_2550_female_urban.json,45,urban,36-45
891-49-6155,2702512868230047,Julie,Ball,F,633 Reed Harbor Apt. 106,Hampton,VA,23669,37.0436,-76.3426,136895,Volunteer coordinator,1941-04-06,978753281962,adults_50up_female_urban.json,81,urban,Over 55
247-27-1103,2720079030673833,Nicole,Parsons,F,439 Ray Trail,Goose Creek,SC,29445,33.058,-80.0101,53588,IT sales professional,1976-07-13,331729976873,adults_2550_female_urban.json,46,urban,46-55
677-67-3622,6540892687056857,Michael,Russell,M,2873 Kevin Station Apt. 708,Sacramento,CA,95838,38.6406,-121.444,757530,Passenger transport manager,1999-11-15,459423143415,young_adults_male_urban.json,23,urban,Under 25
543-18-6364,4351751830467,Michael,Morrison,M,98373 Turner Bridge,Blacksburg,VA,24060,37.2563,-80.4347,53311,"Engineer, mining",1983-12-17,210183500752,adults_2550_male_urban.json,38,urban,36-45
765-97-7847,4638546785448,Heather,Andrade,F,75355 Williams Way Apt. 204,Beaumont,TX,77705,30.0211,-94.1157,142692,Surgeon,1981-12-28,643964883225,adults_2550_female_urban.json,40,urban,36-45
738-54-4837,4536937854777255,Christopher,Cortez,M,80801 Kathy Loop Apt. 312,Searsmont,ME,4973,44.377,-69.2196,1389,Acupuncturist,1994-09-15,554990175020,adults_2550_male_rural.json,28,rural,26-35
383-08-7917,4008860084840868,Robert,Browning,M,82339 Ochoa Grove,Alpena,MI,49707,45.079,-83.4602,22701,Occupational psychologist,1987-07-08,408361278207,adults_2550_male_urban.json,35,urban,26-35
471-73-3985,3541016668700210,Kathryn,Hamilton,F,180 Jason Ways Suite 401,Arlington,VA,22207,38.9033,-77.1263,207410,Health visitor,1972-10-24,600862968276,adults_50up_female_urban.json,50,urban,46-55
674-05-2939,343926142939687,Evelyn,Campos,F,185 Connor Fort,Tampa,FL,33619,27.9382,-82.3756,717255,Call centre manager,1962-03-05,662887798281,adults_50up_female_urban.json,60,urban,Over 55
610-51-5348,676347735869,Jessica,Frazier,F,94311 Moore Station Apt. 655,Sheridan,IN,46069,40.1104,-86.2367,6664,Clinical biochemist,1942-11-19,4688044575,adults_50up_female_urban.json,80,urban,Over 55
456-47-4420,5512678886101586,Anna,George,F,0466 Jenny Points Apt. 982,Arlington,TX,76016,32.6889,-97.1905,370281,Museum/gallery conservator,1996-06-28,151051859836,adults_2550_female_urban.json,26,urban,26-35
309-35-8080,4264647154379938,Judith,Taylor,F,5965 Cook Via,Denmark,SC,29042,33.3209,-81.1407,5868,"Therapist, music",1990-02-24,327002164659,adults_2550_female_urban.json,32,urban,26-35
618-89-3291,30526547935641,Robert,Long,M,398 Erin Plaza,Notre Dame,IN,46556,41.5968,-86.293,7314,Aid worker,1998-11-29,802957040689,young_adults_male_urban.json,24,urban,Under 25
726-27-7184,4672434266179796888,Thomas,Kane,M,058 Daniel Gateway Suite 290,Cape May Court House,NJ,8210,39.1378,-74.7806,17167,"Surveyor, quantity",1963-09-15,712894168926,adults_50up_male_urban.json,59,urban,Over 55
410-97-5433,6011014388899374,James,Ford,M,0714 Knapp Corner,Omaha,NE,68154,41.2642,-96.1206,518429,Commercial art gallery manager,1975-01-02,157754796139,adults_2550_male_urban.json,47,urban,46-55
320-44-7461,4571775140102,Samuel,Wong,M,382 Mark Meadow,Dayton,OH,45420,39.7171,-84.1342,479994,"Psychologist, counselling",1947-11-07,877169140360,adults_50up_male_urban.json,75,urban,Over 55
645-24-3054,4609379660334199,Ashley,Wiggins,F,5371 Lambert Overpass,Round Rock,TX,78681,30.5084,-97.7062,103538,"Secretary, company",1988-10-12,704228248578,adults_2550_female_urban.json,34,urban,26-35
612-50-6432,3555792499125131,Elizabeth,White,F,669 Bailey Manors,Lockport,NY,14094,43.16,-78.6923,50666,Electronics engineer,1963-08-30,697874934613,adults_50up_female_urban.json,59,urban,Over 55
711-83-2839,213174225790506,Kari,Lee,F,876 Perry Ville Suite 721,Utica,MI,48316,42.6885,-83.0548,78577,Systems analyst,2007-04-14,872010906800,young_adults_female_urban.json,15,urban,Under 25
300-05-4504,4279788191480,Rodney,Richardson,M,783 Garcia Village,Cape Coral,FL,33990,26.6265,-81.9677,156391,Firefighter,1959-07-03,959056357132,adults_50up_male_urban.json,63,urban,Over 55
461-34-5712,2413395962923307,Kelly,Patel,M,4494 Derek Terrace,Yonkers,NY,10710,40.9656,-73.8434,177756,Paramedic,1985-02-04,68370591034,adults_2550_male_urban.json,37,urban,36-45
888-84-2079,3532536729466718,Mark,Beard,M,8457 Murphy Alley,Enterprise,AL,36330,31.3408,-85.8421,35530,Chief Financial Officer,1994-06-08,697753726506,adults_2550_male_urban.json,28,urban,26-35
715-46-1038,180036374545891,Carlos,Phelps,M,001 Smith Walks Apt. 770,Lake City,SC,29560,33.8655,-79.7418,13664,Phytotherapist,1934-08-06,999389892260,adults_50up_male_urban.json,88,urban,Over 55
667-39-2605,4541520643611037125,Linda,Stone,F,05162 Jones Lights Apt. 115,Wichita,KS,67212,37.7007,-97.4383,409656,Mental health nurse,1993-06-27,330201333423,adults_2550_female_urban.json,29,urban,26-35
392-97-2182,4189092753269739,Brandon,Garcia,M,656 Moody Gateway,Miami,FL,33179,25.9571,-80.1814,1737737,Health and safety inspector,1974-08-31,92962937500,adults_2550_male_urban.json,48,urban,46-55
567-77-9831,3504389836403768,Brian,Porter,M,055 Paul Villages,Senoia,GA,30276,33.2845,-84.5918,13866,"Teacher, adult education",1985-06-11,401239553647,adults_2550_male_urban.json,37,urban,36-45
700-23-7718,5191043006848665,Mia,Miller,F,1418 Terri Drives,Bay Shore,NY,11706,40.7051,-73.243,62543,Software engineer,1954-08-03,430900111440,adults_50up_female_urban.json,68,urban,Over 55
650-98-1084,4303161799042102026,Kathleen,Reed,F,52410 Roman Groves Apt. 491,South Berwick,ME,3908,43.2292,-70.7859,7233,Research scientist (maths),1995-12-14,560300808050,adults_2550_female_urban.json,26,urban,26-35
057-64-9288,4241913800030756,Janet,Hernandez,F,635 Robert Stravenue,Gloucester,MA,1930,42.6208,-70.6721,28789,IT consultant,1990-04-02,907403143513,adults_2550_female_urban.json,32,urban,26-35
586-48-1957,213123806174457,Angelica,Bryant,F,49493 Richardson Park Apt. 832,Rohnert Park,CA,94928,38.347,-122.6941,43170,Accounting technician,1972-08-25,450681215698,adults_50up_female_urban.json,50,urban,46-55
239-70-5676,4506413836702411,Amanda,Hall,F,571 William Route Suite 199,Longwood,FL,32779,28.7168,-81.4126,50269,Biomedical engineer,1957-10-24,727717710246,adults_50up_female_urban.json,65,urban,Over 55
243-38-4277,375574313291214,Carly,Owens,F,85374 Baker Crest Apt. 249,Playa Del Rey,CA,90293,33.9577,-118.4373,12132,Architect,1983-06-12,915751541289,adults_2550_female_urban.json,39,urban,36-45
152-12-4067,378044206788319,Joel,Lara,M,00323 Watson Roads,Tampa,FL,33605,27.9671,-82.4334,717255,Chartered accountant,1999-02-25,646746156066,young_adults_male_urban.json,23,urban,Under 25
833-10-0358,2237215107029667,Jon,Reyes,M,53244 Stephenson Bypass Apt. 476,Perrysburg,OH,43551,41.5429,-83.5927,37002,Statistician,1950-10-21,66481931623,adults_50up_male_urban.json,72,urban,Over 55
287-50-2249,6011838065787597,Kathryn,Price,F,59304 Lindsey Mountains,Fort Walton Beach,FL,32548,30.4206,-86.6286,51828,Senior tax professional/tax inspector,1983-12-26,843348752593,adults_2550_female_urban.json,38,urban,36-45
239-21-1641,4480396522393,Evan,Rojas,M,059 Anna Field Suite 842,Silver City,NM,88061,32.79,-108.2749,18585,Recycling officer,1948-11-14,98947300855,adults_50up_male_urban.json,74,urban,Over 55
239-78-3585,676170593252,Michelle,Sellers,F,02921 Yu Landing Suite 915,Middlebury,VT,5753,43.9919,-73.1716,10491,Immigration officer,1977-11-29,147414458291,adults_2550_female_urban.json,45,urban,36-45
750-56-7983,4289539264422099,Jenna,Gamble,F,95939 Sharon Divide,Glendale,AZ,85304,33.5943,-112.1746,280389,Learning disability nurse,1966-05-11,84805603866,adults_50up_female_urban.json,56,urban,Over 55
356-41-2751,4570433154100676,Morgan,Costa,F,6586 Maria Turnpike Apt. 271,Northumberland,PA,17857,40.9044,-76.7908,7505,Analytical chemist,1995-02-05,22741459331,adults_2550_female_urban.json,27,urban,26-35
268-14-1216,346218159970624,Lisa,Hamilton,F,53368 Guerrero Hills,Garnerville,NY,10923,41.2021,-74.0005,8732,Field seismologist,1987-11-04,51951563323,adults_2550_female_urban.json,35,urban,26-35
586-71-8044,4506149731032419,John,Wilson,M,7418 Lopez Light Suite 270,Santa Fe,TX,77510,29.4032,-95.0734,19046,General practice doctor,1960-05-14,512989778945,adults_50up_male_urban.json,62,urban,Over 55
232-35-9245,503811586935,Juan,Randall,M,793 Evans Locks Apt. 898,Sand Springs,OK,74063,36.1341,-96.1426,29808,"Teacher, music",1995-12-17,161577842715,adults_2550_male_urban.json,26,urban,26-35
776-58-2833,4320616329451163,Justin,Arnold,M,709 Rodriguez Drive Apt. 999,Princeton,TX,75407,33.1555,-96.4981,14120,Chiropodist,1950-02-03,119936653222,adults_50up_male_urban.json,72,urban,Over 55
799-13-4688,180064679970242,Jamie,Montgomery,M,65307 Prince Brooks Suite 444,Lamesa,TX,79331,32.7367,-101.9569,13258,Regulatory affairs officer,2001-02-22,768190268997,young_adults_male_urban.json,21,urban,Under 25
890-30-2202,4546913736785082143,Michelle,Powell,F,33030 Williams Lake,Auburn,GA,30011,34.0191,-83.8261,14402,"Engineer, civil (contracting)",1992-05-05,404903650217,adults_2550_female_urban.json,30,urban,26-35
518-51-2030,4357972798552411,Dustin,Hughes,M,333 Joseph Lodge,Melbourne,FL,32940,28.2061,-80.685,139650,Scientific laboratory technician,1984-10-18,949273896633,adults_2550_male_urban.json,38,urban,36-45
486-17-2838,3534944665743744,Megan,Holloway,F,108 Hoffman Ranch Suite 417,Sulphur,LA,70663,30.219,-93.3639,38893,Bonds trader,1955-04-20,701267155766,adults_50up_female_urban.json,67,urban,Over 55
883-36-4279,4328309652074461,Jared,Doyle,M,3875 Bruce Ville,Chicago,IL,60616,41.8426,-87.6306,2680484,"Surveyor, insurance",1973-01-23,322900519786,adults_2550_male_urban.json,49,urban,46-55
483-17-4238,3551353465549475,Samuel,Ruiz,M,3816 Gutierrez Ways,Greenwood,MO,64034,38.8644,-94.2815,7612,Dentist,1974-04-27,374522422066,adults_2550_male_urban.json,48,urban,46-55
584-59-2347,341752500743293,Phillip,Burns,M,96666 Reyes Camp,North Fort Myers,FL,33903,26.693,-81.9125,49442,"Social research officer, government",1989-12-03,804015362037,adults_2550_male_urban.json,32,urban,26-35
015-42-8701,4033542168940,Carol,Colon,F,7898 Hamilton Spur Apt. 575,Louisville,KY,40212,38.2651,-85.8045,736284,Emergency planning/management officer,1996-09-10,445869180665,adults_2550_female_urban.json,26,urban,26-35
234-29-2150,4982150648900,Kirk,Williams,M,001 Wallace Crossing,Elmore City,OK,73433,34.6265,-97.4142,2761,Sports development officer,1984-08-25,520776545528,adults_2550_male_urban.json,38,urban,36-45
211-89-0153,4184992618914117392,Curtis,Baker,M,6420 Lozano Spurs,Edgewood,NM,87015,35.0776,-106.1872,13105,Quarry manager,1977-03-17,259117969489,adults_2550_male_urban.json,45,urban,36-45
014-86-1459,2717218114374471,Anthony,Li,M,5561 Melissa Cape,Eau Claire,WI,54701,44.784,-91.4877,81075,Acupuncturist,1927-02-04,153983162030,adults_50up_male_urban.json,95,urban,Over 55
663-22-5385,379415521667462,Melissa,Mendoza,F,212 Tina Vista Apt. 169,Oswego,NY,13126,43.4394,-76.4613,37205,Radiation protection practitioner,1959-07-27,626215958920,adults_50up_female_urban.json,63,urban,Over 55
186-79-6222,342771670145088,Randall,Ray,M,588 Ryan Stream,Irvine,CA,92620,33.7009,-117.7564,212569,Fish farm manager,1966-11-28,380026994241,adults_50up_male_urban.json,56,urban,Over 55
693-83-6306,4028772175354087,Courtney,Schneider,F,17797 Melissa Mission Suite 170,Mead,WA,99021,47.7933,-117.3117,9174,"Civil engineer, contracting",1946-08-01,452704326218,adults_50up_female_urban.json,76,urban,Over 55
